,log2FoldChange
LYNX1,0
ASGR1,1
TGS1,2
SLC26A9,1
CDC42SE2,2
GPATCH4,2
GPR37L1,0
RTL10,1
AGFG2,0
SIGLEC11,0
ACVRL1,0
METTL26,1
ZNF536,0
TTK,1
NDE1,2
FGB,1
NR3C1,0
GPX3,0
PLXNA2,0
TCEAL7,0
ATP2B1,0
SH3BGRL2,0
ACADM,0
ABCC1,1
CAV1,0
ZP3,1
PES1,2
ADAMTS1,0
PNPLA3,1
WDYHV1,1
MTMR3,2
SLIT3,0
DEPDC1B,1
PREB,2
NMNAT1,2
LYPD8,0
CCL15-CCL14,0
TBX15,1
MAGEE2,0
TMEM241,2
RNPS1,2
UMPS,2
WDR20,2
CHGA,0
OLA1,2
CTSS,0
SLC11A1,1
PASK,1
ADTRP,0
NEK5,1
CD101,0
MAGEB17,1
PLCG2,0
UBAP2L,2
GLA,1
HERPUD1,2
EEF1E1,1
BMX,0
ADAMTSL1,0
IPO9,2
DUS4L,1
PLOD3,1
VIP,0
ITM2A,0
PTGR1,0
ADAMTS6,1
XDH,0
CDH10,0
EFNA3,1
TGDS,1
HMCN2,0
TULP3,2
YEATS2,2
TXNIP,0
FRRS1L,0
ARHGAP42,0
P2RY12,0
MARS,2
ABCA6,0
ATAD3B,1
RP1,1
DBF4,1
TMEM63A,1
FGA,1
KIAA1683,0
SPDL1,1
TRIM65,2
EIF2S3,2
DSC3,1
C14ORF105,1
CHEK2,2
OGN,0
UBE2I,2
SALL2,0
NDN,0
MOGAT2,0
SPARCL1,0
ATP6V0D2,0
NEXMIF,0
GJC3,1
AFMID,2
PAQR8,0
DPH2,2
IFITM1,1
SULT1C2,1
MMP28,0
NIM1K,0
POLR1A,2
FANCG,2
BSG,2
LRRN4CL,0
CCNJ,2
NAA10,1
STC1,1
TNFRSF17,0
KLF3,2
FAM98A,2
AHNAK,0
JPH4,0
ASF1B,1
KARS,2
FNDC11,1
LEAP2,0
KDM1A,2
TCF3,2
CLDN7,0
RPL22L1,1
DNASE1L3,0
DDX11,1
PSMA7,1
KCTD14,1
ZNF671,0
PRSS2,1
TMEM9B,2
WISP3,1
TMEM108,0
MYBBP1A,1
ERCC3,2
LAS1L,1
MRPL35,2
LY6G6C,1
SYNJ2BP,2
ARMCX1,0
ASPM,1
UNC5CL,1
CASQ2,0
RAB9B,0
MSTO1,2
HSPH1,1
ILF3,2
ARHGEF19,1
IGSF10,0
GIMAP7,0
PLA2G2C,0
PODXL2,1
RBM20,0
CASR,0
PLEKHB2,2
AQP11,0
EREG,1
TP73,1
SGO1,1
ALG3,1
SMYD1,0
ZIK1,0
GRB7,1
WNT2B,0
AP3M2,1
HDAC2,2
FAM126B,0
DNTTIP1,1
ZNF697,1
GIMAP1,0
CCNDBP1,2
MZT1,1
SLC8A1,0
ACTL6A,2
CRY2,2
CNR1,0
CPA4,1
JAM3,0
CSF2,1
BAALC,0
CDK5,2
SMCO2,1
MUC5AC,1
FPGS,1
ATXN7L2,2
B3GNT8,0
CCNA2,1
LOXL2,1
ABHD6,2
MEF2C,0
CD1D,0
ALAD,2
IL1A,1
CACNB1,0
SLC25A32,1
KY,0
BMP4,1
SPRR1A,1
GBA,2
IL20RA,1
TFDP1,2
FAM107B,0
VIPR1,0
PCSK7,0
RIMKLA,0
AURKB,1
MUT,2
TBC1D16,1
EMP1,0
CXCL2,1
PDLIM3,0
ZNF132,0
FBXO8,2
SHROOM3,0
NCL,2
TMEM147,1
SLC52A1,0
PTPN9,2
SPEG,0
SCUBE1,0
ATP6V1F,2
FASN,1
EPHA6,0
RNF8,2
GINS3,1
BAHD1,2
RIOK1,2
SDHD,0
GRAMD4,0
DPH7,2
SPATA24,2
NPSR1,1
ZMIZ1,2
LIG1,2
IGFL2,1
MASTL,2
CAMKV,1
NUDT5,2
PABPC1,2
CPSF4,2
FOXA2,1
FBL,1
AFF1,2
AKR1B10,0
ZFYVE1,2
PKP4,2
PTRH2,2
ATP23,2
FLNA,0
GGCT,1
LRCH2,0
SECISBP2L,0
CAPN10,2
TMEM270,1
BHLHE40,1
RTEL1-TNFRSF6B,1
CNGA3,0
ANKRD35,0
SLC46A3,0
DCTD,2
MAPK4,0
SCNN1G,0
TPD52L2,2
TMPRSS5,1
SERPINH1,1
GPR19,1
R3HDM1,2
STK17B,0
AGTRAP,1
GALR1,0
TXLNG,1
PIP5K1B,0
POLR3G,1
NIP7,2
PRPF19,2
FABP2,0
CYS1,0
KDM4A,2
C2CD2L,2
IRAK2,1
SLC16A9,0
MEIS1,0
GPSM2,1
BLM,1
SLC25A29,1
EAPP,2
SIDT2,2
ACP1,2
CYP4B1,0
FNDC9,0
RBMS3,0
CASQ1,0
ITIH5,0
OCEL1,0
SLC7A1,1
PCK1,0
KCNB1,0
GINS4,1
APOBEC3B,0
CCDC74A,1
CES3,0
MATN3,1
TNFRSF1A,2
MSLNL,1
TH,1
RCBTB1,1
KIF5A,0
PHF14,2
ANGPT2,1
MAN1A1,0
GPA33,0
WDR5,2
VAPA,2
DFFB,2
MTFR1L,2
PHOX2B,0
PNCK,0
POLR1D,1
ALYREF,2
GALNT16,0
SYNE3,0
CASP2,2
ATAD5,1
WISP2,0
PLPP4,1
TEP1,2
ST8SIA3,0
PRKCG,1
DNMT1,2
HS3ST6,0
EVX1,1
GNAQ,0
SPINK2,0
MFN2,2
LIMK1,2
SLC6A9,0
CITED1,1
ACSF2,0
PTP4A1,0
FOXD1,1
DPM2,2
DLGAP5,1
NPC1L1,1
OLFML2A,0
F12,1
IRF4,0
THRB,0
C9ORF43,1
APLP2,2
UBXN11,1
GPRASP1,0
DCAF5,2
SLC8A3,0
RFX8,1
POLA2,2
MEST,2
CLCNKB,0
C20ORF194,0
B3GALT1,0
KIAA0895,1
MFSD4A,0
ATL1,0
OSBPL1A,0
SPIN4,1
SPNS2,1
CARS2,1
C8ORF46,0
PARM1,0
RASL12,0
BDKRB2,0
PANK3,0
SIX4,1
COA1,2
PHOX2A,0
ANO5,0
TRMU,2
NBEAL2,1
TBL2,2
MPP3,1
AVPR1B,0
CYP4X1,1
MCF2L2,0
C11ORF86,0
MYH15,0
ATRNL1,0
KIF1C,2
SNX24,0
SPRR2A,1
SNRPB,1
TRIP4,2
CKS1B,1
MAGOHB,1
NEU4,0
ZFYVE28,0
CDH19,0
NMU,1
SPRY4,1
DUSP26,0
SPAG5,1
RIPK3,2
GPR180,1
FAM60A,1
IRAK1,1
ZG16,0
COL9A3,1
NOC4L,1
TSPAN5,1
RILP,0
HNRNPA1,2
ZFP69B,1
GPR157,1
KIAA1522,2
PRIM2,2
PDGFD,0
EXOSC4,1
SERPINB7,1
DTD1,1
CCDC85B,1
NSDHL,1
FERMT1,1
FAM120AOS,2
PDE1C,0
NUSAP1,1
DHRS9,0
CPEB2,0
DOK7,1
EPHB3,1
HAUS6,1
SFRP4,1
FGF20,1
ZNF835,0
ATAD3A,1
GINS2,1
TDRD10,0
CCDC148,1
PCNA,1
ADRA1A,0
DMD,0
SH3BP4,1
CLU,0
NR1H4,0
ARFGAP1,1
CWH43,0
SPRR1B,1
FKBP10,1
DIO2,1
WDR97,1
CASP5,0
KREMEN2,1
GRIA4,0
KLRB1,0
CUL4A,2
TMEM255A,0
PAXIP1,2
EMC8,2
LY6D,1
TTF2,2
TBC1D1,2
KCTD4,0
MYADML2,1
RAB8A,2
CFP,0
IGF2,1
FRMD4B,0
ZNF511,1
NUP188,2
UTP6,2
IL16,0
EIF2AK3,2
ATR,2
PARPBP,1
EDAR,1
PAXX,1
ZNF202,2
GCSAML,0
ZNF229,0
SNRPA,2
TRMT6,1
PRMT1,1
SCN3A,0
FMNL2,2
IFITM3,1
PPARD,0
DAZAP2,2
GDE1,2
ZNF670-ZNF695,1
VCL,0
UGT2B15,0
MEX3D,1
SMYD3,2
PRKDC,1
EARS2,2
SPECC1,0
MFAP4,0
CHODL,0
SLC22A17,0
ACTL10,1
C12ORF45,2
TAPT1,2
PPP1R35,1
CDC20,1
PSMG3,1
EMD,2
HK2,0
TSTD2,2
GSDMA,1
CLCN2,0
CCNB2,1
RPIA,2
ZNF280A,1
GOLM1,0
FOXS1,1
PRPS1,2
PADI3,1
SFXN3,2
MAP6,0
DDIT4,1
SAPCD1,1
RABEPK,2
RELL1,0
DXO,2
STRADB,2
SEMA3G,0
GIMAP8,0
MEF2D,2
ZNF367,1
MALSU1,2
RAB5B,2
GTF2F2,1
RPS6KA5,0
RFT1,2
KLK11,1
CNPPD1,2
C1ORF198,2
WDR72,1
RFC2,2
F13A1,0
MLXIP,2
SPNS3,1
SLBP,2
CHAC1,1
GAP43,0
CIT,1
NPY2R,0
FOLR2,0
TMEM201,2
SH2D5,1
PPM1B,2
CAMK2A,0
ATP8A2,0
REEP6,1
TAZ,2
DIRC3,0
KRTAP5-1,1
GALK1,1
NUTM2D,0
BDKRB1,0
RBM19,2
REM2,1
HECTD3,2
FYCO1,2
SYT9,0
POLA1,2
SLC2A1,1
PALLD,0
SRCIN1,1
NUP35,2
SLC1A5,1
CAMTA2,2
RTN4R,1
C14ORF132,0
ERICH2,1
SLC25A14,2
SLC35B3,2
SKP2,1
EBNA1BP2,2
GPM6A,0
FAM92A,1
AGT,1
MSANTD3,2
DACH1,1
IGF2BP3,1
ATP13A4,0
ILF2,2
RIC3,0
CNTFR,0
CCSAP,2
PTPRF,0
GAR1,2
TNIP1,2
TRHDE,0
C9ORF16,1
FCRL4,0
FAM19A2,0
RAB1B,2
LRRN4,1
NQO2,1
UTP20,2
AGTR1,0
ATG4A,2
TRPC7,0
TMEM59L,0
HDAC8,2
ONECUT2,1
TMA16,2
MARCKSL1,2
FAM131C,1
GPR15,0
GLRA4,0
C15ORF38-AP3S2,0
KLHDC1,0
CD46,1
PMEPA1,1
PPP1R3C,0
CPAMD8,0
KIF5C,0
ACLY,2
CCDC192,1
BCL2,0
PHLDA2,1
SLC1A1,0
FAM163B,0
OBP2B,1
FRMPD4,0
FAM71E1,1
SLC9A2,0
AHSG,1
SKA1,1
ZNF251,1
MMRN1,0
GCNT4,0
MADCAM1,0
TSEN2,1
DAP3,2
SFPQ,2
PALM3,1
FGFR2,0
NIPAL3,2
ARNTL,2
PLK4,1
MMP8,1
CPSF6,2
PLS3,1
EPHA5,0
TSPEAR,1
LETM1,2
ISX,0
MTG2,1
RAD51AP1,1
SRMS,1
KRT222,0
C10ORF55,1
SP6,1
NPM1,1
PRICKLE2,0
PDZK1,0
USP39,2
SLC29A1,1
TRIM28,2
RAB15,1
CXXC5,1
CENPE,1
NGB,0
LY6E,1
OTUD7B,2
EPHA7,0
IMPDH2,2
BEND4,0
CD302,0
CAT,2
RIN1,1
PLEKHO1,0
ABCE1,2
GCG,0
MEP1A,0
GHITM,2
TBC1D31,1
NAT1,0
RGL1,0
ZEB1,0
CMBL,0
SSC4D,1
RNF32,1
PPIA,2
SIPA1L2,0
NEO1,0
LXN,0
TMTC1,0
DDX51,2
SSRP1,2
INSL5,0
CCDC85C,2
PDCD2,2
QTRT2,2
RERG,0
REG3A,1
PDE4D,0
RIOX2,2
TBRG4,2
ATP1B3,2
VIT,0
CORO2A,0
FAM72D,1
NOC2L,2
PIGZ,0
ZNRF3,1
DTNB,1
ZCCHC7,2
ZNF593,1
PXYLP1,2
TREM1,1
GYPC,0
OTUD7A,0
CYSLTR1,0
DIRC2,2
PPP1R1A,0
SGCE,0
SKIDA1,0
SLC9A3R1,0
IRX3,1
NUGGC,0
ARHGEF9,2
ZBTB16,0
PAK1IP1,2
TMEM130,0
CADM2,0
NR0B2,1
TRIM71,1
PROX1,1
TAOK3,2
RECK,0
TMEM120B,2
MTAP,2
ANKRD13D,2
MINDY1,2
CLNS1A,2
BZW2,2
SYNJ1,2
SNRPA1,2
TSTA3,1
CAMK2N1,0
POLR3E,2
ESPL1,1
ZNF598,2
ABCA12,1
NLGN1,0
PODNL1,1
CHAT,0
CHD7,1
SSPN,0
TAS2R38,1
BOD1,2
ATAT1,2
HCAR1,1
SPATS2L,2
MTMR10,2
TGFB1I1,0
CLMP,0
JAML,0
RGMA,0
ZNF26,2
ADCY3,1
LRRC3B,0
SLC38A7,2
TRIM9,0
CLIP4,0
RBMX2,2
ECI2,0
PTCD3,2
SSBP4,1
CNRIP1,0
B4GALNT2,0
WRAP73,2
MTF1,2
FEZ1,0
VPS13D,2
SH3RF1,2
NUDT16,2
FLNB,0
UTP15,2
NPR1,0
MAT1A,1
NAA15,2
LCN12,1
ARHGAP39,1
CAMSAP1,2
MAGI1,2
FAM13C,0
SLC11A2,1
TRIM36,0
PLA2G3,1
TAGLN3,0
C16ORF46,1
BID,1
PCSK2,0
CCL15,0
TBC1D10A,2
ACAA1,2
AQP7,0
CCDC57,2
SEC14L4,1
LGALS9C,0
PHKA1,1
LRAT,0
POLM,2
RLIM,2
BMF,0
CCL28,0
ATP2B3,0
BEST2,0
SPAAR,0
USP36,2
SORBS2,0
NEU3,2
ITPR1,0
TP53RK,1
ADRB2,0
SLC35E4,1
SLC5A7,0
SLC25A22,1
PER3,0
SMAD1,2
GRWD1,2
VENTX,1
NLGN4X,0
KIAA0408,0
CFAP20,2
FHL5,0
POLB,1
LZTS1,1
MGST3,2
SYT7,1
UCKL1,1
ZNF540,0
POC5,2
CNTNAP3,0
SOCS6,0
ZDHHC15,0
SLCO5A1,1
LIME1,1
PSMG1,1
KLF13,2
BMP6,0
PBXIP1,0
LSG1,2
IGF2BP1,1
MRPL36,2
CLDN8,0
CARMIL3,1
VWA5A,0
SEC23A,2
KDELC1,1
PARVA,2
ARHGAP35,2
MIIP,2
MCM8,1
SNAPC4,2
MYZAP,0
LONRF2,0
BIN2,0
TDP1,2
NPEPL1,1
NBR1,2
TINCR,0
PPP2R2B,0
NPY,0
SIGLEC8,0
PROSER1,1
POLG2,2
PDP1,1
CAMK2D,2
SERPIND1,1
HSD17B7,2
PIGS,2
BEX4,0
AUH,2
HOGA1,1
SEC14L5,0
IMPA1,0
POP7,2
MGAT4C,0
MPP6,1
B3GALT5,0
PLA2G5,0
IQGAP2,0
PER1,0
BAD,2
USP30,2
YARS2,2
CCNG2,0
POLE2,1
SLCO1C1,0
FRMD3,0
TWISTNB,2
TIMM8A,2
CDC123,2
B9D1,1
CCT8,2
RSPO2,0
MYPN,0
SPHKAP,0
DTX4,2
MME,1
WDR37,2
C6ORF136,2
TELO2,2
TMEM56,0
ABL1,2
EPHX2,0
RELT,1
NDST1,2
KCNS2,0
KLHDC8B,0
FERMT2,0
ADK,2
MAGEA6,1
WDR54,1
RND2,0
PPY,0
CILP2,1
ZMIZ2,2
RPL12,2
IRF2BP2,2
NEMP1,2
EYA2,0
LIPG,1
ADCY2,0
GJA3,1
KRTAP5-4,1
CEP83,2
CGRRF1,2
GIF,1
SNRPD1,2
UBA2,2
TARBP2,2
SH3BP1,0
NAE1,2
MID1IP1,2
GNAI1,0
DMXL1,2
B3GALT6,2
P2RY8,0
ADNP,2
ZNF677,0
IGSF11,0
DES,0
NUP58,2
POLR3A,2
EDNRB,0
TEX30,1
PDPN,1
NPAS4,0
APOBR,0
ADCY6,2
CENPO,2
CALD1,0
IGSF23,1
LGI4,0
AP5M1,2
ZNF746,2
APOA2,1
FAM163A,0
HDHD2,2
SLC52A2,1
NDUFA4L2,1
SYTL2,0
LY9,0
FAM136A,2
KRT83,1
COL21A1,0
GATD1,2
GNL2,2
MELTF,1
DUSP2,1
MYBPHL,1
NOL10,2
BEND3,2
AC009779.3,0
TDRD7,2
THOC3,2
HACD4,0
TRIT1,2
XPO4,2
ABCA5,0
PCYT1A,2
HHIP,0
NEXN,0
OAF,2
PRKACA,2
NUTM2A,0
NAT6,2
ALOXE3,1
LAIR2,1
COL27A1,1
PRKCD,2
CHMP6,2
FOXF1,0
PPM1N,1
GSTM2,0
BACE2,1
MSLN,1
MRVI1,0
GAREM1,0
RDH16,1
UAP1,2
ATP6V1D,2
PDIA4,2
TMEM39A,2
BICDL1,1
ARNT,2
CTSG,0
SPICE1,2
FARSA,2
PSMG4,1
FRMD5,1
CORO2B,0
FIGN,0
CD36,0
ADRM1,2
MVP,2
KLHL31,1
CASZ1,2
ANKRD33B,0
JPT2,2
SEPT6,0
CHAF1A,2
PTBP1,2
FAXDC2,0
RNASEH1,2
PPP1CB,2
EDNRA,1
MASP1,0
MIOX,1
CACFD1,0
FKBP5,0
PPP1R16B,0
ACSM5,0
THEM6,1
NEB,1
CTU1,1
LGALS3,0
BCL7A,2
TP53INP1,0
CPXM2,0
BAAT,1
AMOTL1,0
BORCS6,2
MAS1L,0
ICA1,2
ST3GAL2,2
KYAT1,1
FBXO5,2
TCF7L2,2
SOX1,1
AFG3L2,2
EIF3M,2
KLRF1,0
PTTG1IP,2
GFRA3,0
RHOC,2
FBF1,1
DDX27,1
TMEM40,1
DHX33,2
ERBIN,2
FCER1A,0
WRNIP1,2
RNF114,2
UQCRFS1,2
PRSS1,1
GAS8,2
TUBGCP3,2
NEUROG2,1
BRSK2,1
PHYKPL,2
ZNF761,2
TM4SF19,1
HVCN1,0
TTC28,0
FLT3,0
PRDM6,0
CORO6,0
FAM84B,2
ZNF469,1
DDX60,0
HIPK4,0
ANKRD16,2
C10ORF105,0
DENND2A,0
MINDY4,1
OTOP3,0
RASGEF1C,0
KIAA0907,2
TJP3,0
WLS,2
FAM111B,1
PLEKHS1,1
FGF18,1
C2ORF71,0
SRSF7,2
CDHR2,0
TCEAL6,0
LAGE3,1
RELN,0
YY2,1
SIGLEC15,1
CACNA1H,0
CLCN4,1
C1ORF35,2
GPER1,0
GIMAP6,0
CMA1,0
PTDSS1,2
RUVBL2,1
ZNF7,2
DAB2IP,2
UGT2B17,0
CD79B,0
TNFSF12,0
SLC28A3,1
KCNN4,1
KCNA3,0
CLSPN,1
WDHD1,1
CACNA2D1,0
ACSS2,0
HES4,1
PSMC3IP,2
SLC34A3,1
C2CD4B,1
GLRX3,2
LMO2,0
PROKR1,0
GALM,2
KRT15,1
NAP1L3,0
ITGB3,0
SLC9A7,1
ADAM33,0
INAVA,2
PDE3A,0
LUZP1,2
C2,1
PRSS41,1
NTHL1,1
KRTAP13-2,0
MPI,2
LANCL3,0
MYO1C,2
RNF103,2
CEP164,2
LRFN4,1
SAR1B,2
TMEM9,1
ACTL6B,0
SNRPC,2
SEMA4G,0
PBX1,0
CCR2,0
PPAN,2
GSTP1,1
PKM,2
PRPF3,2
NHP2,2
DHODH,2
SNRPD2,2
ABCF2,2
MTHFD1,2
FAM189A2,0
SMCHD1,0
NEFH,0
PMS1,2
SMPD3,0
CCNJL,0
F2,1
GPR119,0
HMGCL,2
RPS2,1
WASHC2A,2
EPHA10,0
HAUS7,1
NUP210,1
GRAMD1C,0
PPARGC1A,0
APBB1,0
ITPKB,2
EHMT2,2
CKMT2,1
SHOC2,2
POLR3K,2
AATF,2
DSG1,1
HBB,0
GAS2,1
NDUFS1,2
CNIH3,1
KCP,1
TSR1,2
RAB30,0
MAST3,2
FOXP4,1
NDUFAF8,1
PPP1R13L,1
DDR2,0
GPR88,0
SMPD4,2
TLN1,2
ADO,2
ATP5EP2,1
RPH3A,0
KIFC2,1
PSMC2,2
BMP2K,2
VILL,0
TMEM67,1
EPHA1,1
CYP2C18,0
HADH,2
AMMECR1,2
DPEP3,0
MAGI2,0
CYP2S1,1
COL12A1,1
ASXL1,2
FAM83H,1
HMMR,1
DMPK,0
AGO2,2
HOXC11,1
PCBD1,2
LIPH,0
TSPAN3,2
DUSP15,1
SLC4A2,2
FZD3,1
DPY19L1,2
LSM7,1
MBOAT1,0
ZNF781,0
CCDC138,2
STAP1,0
CCDC34,2
CREBZF,2
C19ORF53,2
ZGRF1,1
OSBPL10,2
GHR,0
YPEL2,2
R3HDM4,2
RSPH3,2
RASSF10,1
H2AFX,1
RASD2,0
PDK2,0
RCCD1,2
SIPA1L3,2
PRR9,1
RAB37,0
ABCD2,0
ADH1A,0
PPME1,2
RMND5A,2
MEF2A,2
DENND1B,2
NPW,1
FAM53A,1
WDR5B,2
KBTBD11,0
SVEP1,0
GRIA3,0
TMEM74,0
GPR82,0
GRK1,1
ZNF316,2
MATN2,0
NPM2,1
BCAP31,2
NMT2,2
RPUSD1,1
TMEM158,1
MYL6,2
TPRG1L,2
SOX12,1
MISP,0
BCS1L,2
GNG8,0
ZRANB3,2
CDC16,2
DDX19A,2
UGT2A3,0
LOXL4,0
NBEA,0
CENPL,2
CCDC187,1
BRIP1,1
VGLL1,1
DUS3L,1
ST8SIA1,0
CLDN9,1
BTBD9,2
ZHX1-C8ORF76,1
PCDH10,0
DOCK6,2
SLC44A2,2
MAPK3,0
WWP2,2
ARPP21,0
FAM8A1,2
DMRT3,1
ZNF783,2
ATP6V0D1,2
HSPB7,0
ORC5,2
UBQLN4,2
C1ORF186,0
F7,1
FAM120B,2
THADA,2
A2M,0
C6ORF89,2
GAS7,0
SIGLEC6,0
TSPAN11,0
LHFPL2,2
SYPL2,0
LRRC46,1
ANXA8L1,0
PLXNA3,1
BEST3,1
FOSL2,2
PTCD2,2
QPCTL,2
TLR7,0
PIK3CG,0
USPL1,2
TUB,0
SYNC,0
KCNK9,1
FEV,0
AARD,0
CLEC4G,0
BMP5,0
ALKAL2,0
MCEMP1,1
CAST,2
PTMA,2
CYB561D1,2
NSUN2,2
NKAPL,0
DLG2,0
NRIP1,2
POLR3C,2
NACA2,1
CCL8,0
FXYD4,1
WDR27,1
AFP,1
TMTC4,2
TSPYL5,0
EXT1,2
WFDC1,0
SMG9,2
PGRMC2,2
USP6NL,2
RTL5,0
TTC9,1
FOXD3,0
STON1,0
APCDD1,1
SPHK1,1
NXPH1,1
MICAL2,2
TMEM120A,2
RNF182,1
EID1,2
PDF,1
MORN5,0
CDK7,2
ST3GAL3,2
HAPLN3,1
CCDC137,2
SCG2,0
UBTD1,1
TLCD1,1
AC119396.1,0
SLC46A1,0
DYNC1LI2,2
NABP2,2
UNC5D,0
ZFP91,2
ORC1,1
SGK2,0
CENPJ,1
GPR18,0
UBE3B,2
RPS6KA1,2
RFK,2
ELOC,2
FCRLA,0
TLR10,0
KCNJ11,1
RNF219,2
RGS2,0
DOLPP1,2
SCARB2,2
SLC43A1,1
MIGA2,2
SLC35B2,2
TMEM255B,1
HLCS,2
PURA,2
GGT6,0
CD27,0
POMP,2
SEL1L,2
YPEL5,2
PATZ1,2
CADPS,1
VWC2,0
C9ORF50,1
INTS8,2
METTL5,2
ANKLE2,2
STAB1,0
CLDN5,0
ITSN1,2
CD48,0
PRSS36,0
LARP1,2
AL121845.3,1
GALNT15,0
KIF11,2
SYNGR1,0
MRPL58,2
PPIH,2
FGD4,2
OTULIN,2
RFC5,2
NOL8,2
ATP6V0A4,1
GPR89A,2
HTR4,0
SBSN,1
NDRG1,0
RBM39,2
G3BP1,2
CYTH1,2
LGALSL,2
TMEM155,0
TLL1,0
BCL2L1,2
SYT10,0
C2ORF74,0
SPOUT1,2
SNRPE,2
AC004233.2,1
BCL10,2
ARHGAP40,1
THBS2,1
KMT5C,2
TNNT2,1
CNPY2,2
MAPK6,2
PHYH,0
DDX18,2
ABCB5,0
SLC15A2,0
PRKAR2B,0
MORF4L2,2
PPP2CB,2
CACNB2,0
MFAP5,0
DNAH14,1
CPLX1,1
KLHDC4,2
RBM26,2
CPTP,2
ATP5A1,2
NMD3,2
TWIST1,1
CAMK4,0
SNRNP70,2
TCEA3,0
FEM1B,2
IL17C,1
SMIM10L2B,0
MSH6,2
COL5A2,1
NCAPD2,2
PAK3,0
UBE2O,2
ELOVL4,0
LGALS2,0
ZBTB7C,0
IFT22,2
ABCB6,1
SLC38A5,1
PLEKHA8,2
LSM5,2
ZNHIT2,2
TTPAL,2
ERVMER34-1,1
ZWINT,2
FCHO1,1
PCOLCE2,0
EEF1AKMT1,1
KCTD2,2
OPTN,2
TNFRSF10C,1
CCR10,0
DUS1L,2
PRIM1,2
COX7A1,0
TBC1D9,0
ERP27,1
SELENBP1,0
IL4R,2
CHGB,0
DIS3,2
CCNL2,2
TNS2,0
LRRC43,1
CRK,2
DLX6,1
TNK1,2
NPHP4,2
PAPD7,2
MARK2,2
PTX3,0
GPN3,2
CTPS2,2
CD79A,0
ATCAY,0
MAOB,0
SLC25A15,2
SLC35C2,2
LMBRD1,2
APC,0
CALCA,1
ARVCF,1
CCDC59,2
MAP1A,0
RAB6B,0
CNTN1,0
MIF,1
PAM16,2
METTL3,2
B3GNT5,2
FLI1,0
ANKRD53,0
RCOR2,1
GPC2,1
MLKL,2
CHRDL1,0
TMEM50A,2
LRRC31,0
CTSH,1
ISM2,1
CLDN11,0
TOPBP1,2
SLC27A5,1
UCHL3,1
RPS21,1
SMAD7,2
STUM,0
CSTL1,1
VAMP8,2
SCRG1,0
ZNF792,2
BTG1,2
FAM102A,2
LEPR,0
MZT2A,1
TSC22D3,0
ZYG11B,2
SMS,2
EEF2K,2
PRKCE,2
NAA16,2
RANBP17,1
NIT1,2
LUZP2,0
CCNI2,1
ZNF684,2
ZNF579,1
FARSB,2
AKAP8L,2
BHMT2,0
TMEM165,2
STX6,2
CTSV,1
COMT,1
C16ORF62,0
NKX3-2,0
CNKSR2,0
MAGEA12,1
HDAC9,0
ZNRD1,2
DCSTAMP,1
SGCA,0
SLC8A2,0
PEX19,2
CCR8,1
MTMR9,2
MS4A2,0
AGRN,1
KLK12,1
EBF1,0
TUBB3,1
WDCP,2
NWD2,0
PPP1R12C,2
SEZ6L,0
COL4A3BP,2
SLC17A1,0
MRPL9,2
CNPY3,2
CCDC32,2
CLECL1,0
PRR5-ARHGAP8,1
TOMM40L,2
LAPTM4B,1
EFHC2,0
RASGRP2,0
TUBG1,2
KCNC1,0
LSP1,0
STK36,2
RAD51D,2
NOL3,2
CDKL2,0
KRT27,0
S100A3,1
LTB4R,1
OTUD6B,1
SLC19A2,2
LPCAT1,1
GABRP,1
FEM1C,2
C14ORF28,2
FANCE,2
ZNF195,2
STK32B,0
ATP8A1,0
CHMP3,2
APBA1,0
PUSL1,1
RGL2,2
C11ORF54,2
ZEB2,0
LUC7L,2
CYP4V2,2
ETFBKMT,2
NAPEPLD,2
MRPL57,2
CAMKMT,2
CEP78,2
SS18L1,2
TSEN15,2
STAP2,0
RAD51AP2,1
PDLIM2,0
MED9,2
INCA1,2
BTLA,0
PTH1R,0
IRF2,2
RRP15,2
BIRC7,1
HIF3A,0
ZNF491,0
CSPP1,2
WFDC10A,1
SLC17A5,2
PHF24,0
TMC4,2
CD180,0
TMEM200B,0
ITGBL1,1
MT1E,0
MBTPS2,2
TIPIN,2
MIS18A,2
FMN2,0
KTN1,2
AKAP4,1
KIAA0232,2
VASH2,1
GPR34,0
UNC79,0
SLC20A2,2
SH2D2A,1
KISS1R,1
NTAN1,2
HSPE1,2
ITGA11,1
KCNK3,0
TMEM54,0
UPF3B,2
2-Mar,2
MARC2,0
WNT11,1
RBCK1,2
PRELP,0
FXYD3,0
DUSP10,1
DCPS,2
SPOP,2
B2M,0
CPQ,0
ESR2,0
DPP7,1
DLGAP4,2
KIF15,2
TNPO2,2
GABARAP,0
MYOC,0
NCK1,2
IPO7,2
KLRG2,1
TOX4,2
LMTK2,2
EIF3H,2
BMS1,2
TSPAN2,0
ELFN1,1
CST6,1
MPPED2,0
ARHGAP15,0
FAM124A,0
MST1,1
LIMK2,2
P4HA3,1
ENGASE,1
PQLC1,2
ERO1A,2
CCDC77,2
CFD,0
CAPN12,1
MIPEP,2
MPV17,2
SRRT,2
CTDSP1,2
RHBDL1,1
ZBTB39,2
PSMB2,2
ATP2A3,0
PHF20,2
DNAJA3,2
IST1,2
RNF14,2
CACNG4,1
FBXL7,0
PITPNB,2
RIMS4,0
FOXO4,2
C19ORF24,2
TMEM164,2
GCOM1,0
FABP1,0
REXO2,2
SLAIN2,2
