genes,log2FoldChange_0,log2FoldChange_1,log2FoldChange_2
MOCS1,1,0,0
RPH3AL,0,0,1
EDAR,0,1,0
TMEM127,0,0,1
TYMS,0,0,1
MYLK2,0,0,1
BCL2L10,0,0,1
SYTL2,1,0,0
SH3D21,0,0,1
TSPAN6,0,0,1
CIB4,0,1,0
GALNT12,1,0,0
SLC9A7,0,1,0
SOD3,0,1,0
RHBDF2,0,1,0
FITM2,0,0,1
VIM,0,0,1
IPO8,0,0,1
IFT140,0,0,1
RPRD1B,0,0,1
AC008763.2,0,1,0
BLOC1S4,0,0,1
GLS2,0,1,0
HNRNPA1,0,0,1
ATP5O,0,0,1
MGAM,1,0,0
ERG,0,0,1
YBX3,0,0,1
ANKDD1A,0,0,1
AC008750.8,0,0,1
LILRB5,1,0,0
KRT74,0,1,0
RBM39,0,0,1
PDE5A,1,0,0
TAF10,0,0,1
HMGCR,0,0,1
FOXM1,0,1,0
HOXC9,0,1,0
HTR1D,0,1,0
TBL2,0,0,1
NPBWR1,0,1,0
GPA33,1,0,0
IL13,0,1,0
TMPO,0,0,1
UBA7,0,0,1
PSMD6,0,0,1
CIB1,0,0,1
SMYD3,0,0,1
NR2E1,0,1,0
LRRC18,1,0,0
MBTPS2,0,0,1
CAMK2N1,1,0,0
ADAT1,0,0,1
NRAP,1,0,0
CALHM1,1,0,0
RASSF10,0,1,0
SEC24C,0,0,1
NSUN6,0,0,1
FMO1,0,1,0
RCL1,0,1,0
ABHD14A-ACY1,0,1,0
DHCR7,0,1,0
CALML3,0,1,0
FRMD7,0,1,0
OR51E2,1,0,0
RSPH10B,0,0,1
FAM228B,0,0,1
PHYHD1,1,0,0
ARMC10,0,1,0
LMOD3,0,1,0
HSBP1,0,0,1
MAIP1,0,0,1
FAM187B,0,0,1
AGO1,0,0,1
SSBP2,1,0,0
CORO7,0,0,1
PRPF31,0,0,1
MAGEA4,0,1,0
NEU3,0,0,1
VSTM4,1,0,0
TECR,0,0,1
XG,0,0,1
SCNN1B,1,0,0
ASXL1,0,0,1
TMEM9B,0,0,1
H1F0,0,0,1
EIF2B4,0,0,1
DNAJB1,0,0,1
LEPROT,0,0,1
ZNF154,1,0,0
COLEC10,0,0,1
ASH2L,0,0,1
RARA,0,0,1
TBX19,0,0,1
SOCS7,0,0,1
MRPL18,0,0,1
SLC22A4,1,0,0
TARS2,0,0,1
CALM1,0,0,1
WDYHV1,0,1,0
MYLK,1,0,0
CCL26,0,1,0
C15ORF40,0,0,1
ESRP1,0,0,1
SF3A1,0,0,1
CMPK1,0,0,1
ST6GALNAC3,1,0,0
NSUN2,0,0,1
PGM3,0,0,1
CNGA3,1,0,0
JUND,0,0,1
DTX3,0,0,1
SELP,0,0,1
NFASC,1,0,0
RASGRF2,0,0,1
LMBRD1,0,0,1
TRNP1,0,1,0
PRRG3,1,0,0
BSG,0,0,1
METTL24,1,0,0
XYLB,0,0,1
CXCL5,0,1,0
HIF1AN,0,0,1
CD34,0,0,1
GOLPH3,0,0,1
CRABP1,1,0,0
CRYGN,0,0,1
MB21D1,0,1,0
NPNT,0,0,1
PCNA,0,1,0
COL4A1,0,1,0
ABCG5,0,1,0
CDC42EP2,0,0,1
EAF1,0,0,1
WIPF1,0,0,1
AC073896.1,0,1,0
MYO1A,1,0,0
TNFSF13,0,0,1
ATRNL1,1,0,0
SAMD10,0,1,0
PLCD3,1,0,0
WHAMM,0,0,1
SDC3,0,0,1
HLX,0,0,1
TGFBR2,0,0,1
NOA1,0,0,1
TMEM37,1,0,0
HIST1H3H,0,0,1
CARS,0,0,1
CCDC77,0,0,1
HABP4,0,0,1
PRDM15,0,0,1
JUN,0,0,1
EVI5L,0,0,1
SLC26A4,0,0,1
FTSJ1,0,1,0
FOXO4,0,0,1
FAM196A,0,0,1
RFPL2,0,1,0
BID,0,1,0
GSTM3,0,0,1
WDR74,0,1,0
MRPL36,0,0,1
PPAT,0,1,0
KLHL32,0,1,0
COL9A1,0,1,0
FAM58A,0,0,1
TDRD7,0,0,1
ZXDC,0,0,1
LRRC28,0,0,1
IGFBP2,0,0,1
TMED9,0,0,1
KRT7,0,1,0
EPC1,0,0,1
AFAP1,0,0,1
RAET1L,0,1,0
ONECUT3,0,1,0
PSMD4,0,0,1
NECTIN1,0,0,1
CNTNAP3,1,0,0
DACT2,0,0,1
CHRAC1,0,0,1
POU4F1,0,1,0
NCAPH,0,1,0
TAF2,0,0,1
C19ORF24,0,0,1
ALAS2,1,0,0
ATP5E,0,0,1
TESK2,1,0,0
CSGALNACT1,0,0,1
MTG1,0,0,1
COX6A1,0,0,1
FAM102B,0,0,1
TREX2,0,1,0
SLC52A3,0,0,1
GIGYF1,0,0,1
PIK3C2B,0,0,1
WNT9B,0,0,1
HIPK2,0,0,1
MAP4K4,0,0,1
POMGNT2,0,0,1
DPM2,0,0,1
MT1B,1,0,0
LRRC23,0,0,1
LRFN1,0,0,1
SYBU,0,0,1
NUDT14,0,0,1
DHX15,0,0,1
SLC41A3,0,0,1
ADAMTS9,0,0,1
IGSF9,1,0,0
C10ORF142,1,0,0
BATF3,0,0,1
NEIL3,0,1,0
ZNF777,0,0,1
COX4I1,0,0,1
PPP2CB,0,0,1
SPRYD4,0,0,1
FRG1,0,0,1
AC009779.3,1,0,0
BTNL8,1,0,0
C20ORF27,0,1,0
UTS2,0,1,0
FDX1,0,0,1
MIXL1,1,0,0
LRRC9,0,1,0
TCN1,0,1,0
ZADH2,0,0,1
CKMT1B,1,0,0
VRTN,0,0,1
LRAT,1,0,0
ZNF471,1,0,0
PHKA1,0,1,0
GALM,0,0,1
LIPH,1,0,0
GPR182,1,0,0
DNAJC16,0,0,1
PAK3,1,0,0
CEBPZ,0,0,1
PSMD11,0,0,1
TSTD2,0,0,1
PIGL,0,0,1
IGF2,0,1,0
HIST1H1E,0,1,0
KANSL1L,0,0,1
HDHD5,0,0,1
C1QTNF3,1,0,0
KLHDC7A,0,0,1
IGFBP4,0,0,1
ANKRD13A,1,0,0
CD207,1,0,0
MARVELD3,1,0,0
SH3GL1,0,0,1
FAM205C,1,0,0
WDFY2,0,0,1
LCN15,0,1,0
PRDM1,0,0,1
DCBLD2,0,0,1
ETFDH,1,0,0
CHAT,1,0,0
ENDOV,0,0,1
MOB1A,0,0,1
TLR2,0,0,1
WNT8B,0,1,0
RWDD2A,0,0,1
TTLL10,0,0,1
CXCL16,0,0,1
DACT3,1,0,0
GK5,0,0,1
PLCD1,1,0,0
SNX24,1,0,0
RSL1D1,0,0,1
ZNF395,0,0,1
XKRX,0,1,0
LEMD1,0,1,0
FOLH1,0,0,1
KLF16,0,0,1
HAUS8,0,0,1
TMEM147,0,1,0
FAM220A,0,0,1
FAM124A,1,0,0
ITIH6,0,1,0
MCEMP1,0,1,0
AC005779.2,0,0,1
ADGRA3,0,0,1
FHOD1,0,0,1
B3GNT8,1,0,0
GFER,0,0,1
TCTA,0,0,1
ENPP5,0,0,1
GUCA2B,1,0,0
AC004805.1,0,1,0
SSBP1,0,0,1
IGSF23,0,1,0
CSNK2A2,0,0,1
NCF1,1,0,0
GRP,0,1,0
FEZ1,1,0,0
RP9,0,0,1
FSCN2,0,0,1
PPP2R3C,0,0,1
GABRA4,0,1,0
CCNB1IP1,0,1,0
PFN4,0,0,1
AQP12A,1,0,0
INTS10,0,0,1
STMN2,1,0,0
MOK,0,1,0
NFKBID,0,0,1
ELOC,0,0,1
GPD2,0,0,1
SLCO2A1,1,0,0
TCF20,0,0,1
PLAG1,0,0,1
CANT1,0,0,1
AC020922.1,0,0,1
PRR34,0,0,1
STPG1,1,0,0
DLX5,0,1,0
TCP11L1,1,0,0
HHLA3,0,0,1
OPTC,1,0,0
TFF1,0,1,0
GNGT1,0,1,0
AC187653.1,1,0,0
PHLPP2,1,0,0
CNRIP1,1,0,0
ABCA12,0,1,0
SLC9A3,1,0,0
ADCK5,0,0,1
ARMCX1,1,0,0
ACAD9,0,0,1
CAND1,0,0,1
RGS22,1,0,0
TTBK2,0,0,1
PALMD,0,0,1
HSP90AB1,0,1,0
ENOPH1,0,1,0
CRACR2B,0,0,1
LITAF,1,0,0
IFNL3,0,1,0
TRAF6,0,0,1
ARHGAP6,0,0,1
CXCL12,1,0,0
REEP3,0,0,1
CARNS1,0,0,1
CLNS1A,0,0,1
TNFRSF10B,0,1,0
ASB11,1,0,0
METTL22,0,0,1
UBB,0,0,1
DBF4,0,1,0
PRSS50,0,1,0
SH3RF1,0,0,1
FBXO34,0,0,1
LAMTOR2,0,0,1
P2RY10,1,0,0
CHMP1B,0,0,1
RTL9,0,0,1
PTPRE,0,0,1
ITPK1,0,0,1
PRPF40A,0,0,1
SPAG6,1,0,0
PSMB1,0,0,1
PIGT,0,0,1
ARMC9,0,0,1
ZNF337,0,0,1
SKIDA1,1,0,0
NDUFA5,0,0,1
SLC2A13,1,0,0
EIF4E3,1,0,0
NUDT1,0,1,0
CSAD,0,0,1
WBP1L,0,0,1
TAOK2,0,0,1
SLC46A1,1,0,0
MT1H,1,0,0
DDHD1,0,0,1
CHRNA5,0,1,0
PPIL1,0,1,0
PNMA2,0,0,1
USP35,0,0,1
EBF3,0,0,1
NADK,0,0,1
HLA-C,0,0,1
RASL10B,0,1,0
BIRC3,0,0,1
BRMS1,0,0,1
TBC1D1,0,0,1
PITPNA,0,0,1
KCNMA1,1,0,0
MTMR10,0,0,1
NUP210,0,1,0
RPS11,0,0,1
LAYN,0,0,1
DOCK8,0,0,1
SLC38A5,0,1,0
TDO2,0,1,0
U2SURP,0,0,1
ZBTB11,0,0,1
SLC18A3,1,0,0
CHMP5,0,0,1
ACYP1,0,0,1
ERBIN,0,0,1
ETV7,0,0,1
TGOLN2,0,0,1
RMI1,0,0,1
KRTCAP3,0,0,1
EPHX4,0,1,0
SRSF11,0,0,1
FLYWCH1,0,0,1
HPS4,0,0,1
NELFE,0,0,1
PRH1,0,0,1
SLC9A9,1,0,0
PRELP,1,0,0
PTGES3,0,0,1
TCEA1,0,0,1
IQSEC3,0,0,1
CHSY3,0,1,0
KIAA1644,1,0,0
GCNT7,0,0,1
ATP2B1,1,0,0
FEN1,0,1,0
PRAP1,0,0,1
TPD52,0,0,1
MAT1A,0,1,0
SFTPA2,1,0,0
TYW1B,0,0,1
LRRC8C,0,0,1
AP1B1,0,0,1
KHDRBS3,0,0,1
CMYA5,0,0,1
DUS4L,0,1,0
IFIT5,0,0,1
TIMM44,0,0,1
ERGIC1,0,0,1
FMC1,0,0,1
DISP2,1,0,0
OSGEP,0,0,1
COL26A1,0,1,0
ECH1,0,0,1
SLC35F1,1,0,0
RIOX1,0,0,1
MMP8,0,1,0
TRMT5,0,0,1
TMEM246,0,0,1
ACAA2,1,0,0
IGSF6,0,0,1
CLDN19,1,0,0
GPR42,1,0,0
RPE65,0,1,0
RHBG,0,1,0
CRYBB1,0,0,1
CIRBP,0,0,1
PHF2,0,0,1
CMTR1,0,0,1
TP53RK,0,1,0
SEPT1,0,0,1
SLCO1B1,0,1,0
POLQ,0,1,0
C1QTNF3-AMACR,0,0,1
ANGPTL5,1,0,0
GSTM4,0,0,1
RBP1,0,1,0
WNT2B,1,0,0
SPRED3,0,1,0
ITM2C,1,0,0
SNX12,0,0,1
CREBL2,0,0,1
INO80B-WBP1,0,1,0
ZNF705A,0,1,0
PLN,1,0,0
FABP2,1,0,0
STAP2,1,0,0
CSMD2,0,1,0
HERC3,1,0,0
SEMA4B,0,0,1
TPD52L1,0,1,0
TMEM19,0,0,1
C21ORF59,0,0,1
UBE3D,0,1,0
DPP10,1,0,0
ZNF367,0,1,0
RAC2,0,0,1
PNLIPRP3,1,0,0
OR2W3,1,0,0
GTF2A2,0,0,1
STX1A,0,1,0
PYGO1,1,0,0
DCX,1,0,0
TLX3,0,1,0
RNASE3,0,0,1
RNF175,0,0,1
TUB,1,0,0
PIK3CD,0,0,1
DHODH,0,0,1
BANF2,0,1,0
TUBE1,0,0,1
SPINK2,1,0,0
IGFL1,0,1,0
MCCC2,0,0,1
ZBTB3,0,0,1
ZNF765,0,0,1
CSTL1,0,1,0
SAMD14,0,0,1
HNRNPDL,0,0,1
SLC10A2,1,0,0
VSIG8,0,1,0
VIPR1,1,0,0
CKB,1,0,0
MRM1,0,0,1
TBX4,0,1,0
JAML,1,0,0
DIO3,0,0,1
NAGA,0,0,1
BCAT2,0,0,1
CFH,1,0,0
ZNF454,1,0,0
SYPL2,1,0,0
RABL3,0,0,1
RALGPS1,0,0,1
MED12L,1,0,0
ATP6V1F,0,0,1
SELENOW,0,0,1
HIPK4,1,0,0
TIPARP,0,0,1
PRRT1,1,0,0
COQ5,0,0,1
C10ORF76,0,0,1
LTA,0,0,1
POU2AF1,1,0,0
NAE1,0,0,1
CHMP1A,0,0,1
CEACAM3,1,0,0
COL28A1,1,0,0
TIPRL,0,0,1
SPSB2,0,0,1
TBX1,0,0,1
ZNF174,0,0,1
OAZ2,0,0,1
MRPL13,0,0,1
ORC3,0,0,1
ASNS,0,1,0
PPM1G,0,0,1
LBH,0,0,1
UBTF,0,0,1
KRT12,1,0,0
DLX6,0,1,0
MYH14,0,0,1
GOLPH3L,0,0,1
DRD2,0,1,0
SFXN3,0,0,1
CBARP,0,1,0
FUT1,0,1,0
TRIM54,0,1,0
AJAP1,0,0,1
RPL13,0,0,1
EDEM2,0,0,1
OSBPL7,0,0,1
9-Mar,0,1,0
KIAA0319,0,0,1
FNDC1,0,0,1
VAV3,0,0,1
SMPD1,1,0,0
POMP,0,0,1
SREBF2,0,0,1
TESPA1,1,0,0
SCP2,1,0,0
ATMIN,0,0,1
FAM49B,0,0,1
SERPINA10,0,1,0
ELAVL3,1,0,0
ZNF846,0,0,1
DSN1,0,1,0
OTX1,0,1,0
PPFIBP2,0,0,1
SLC9A3R1,1,0,0
ADRA2B,0,0,1
CCDC14,0,0,1
DYNC2LI1,0,0,1
ANO9,0,1,0
SULF1,0,1,0
MROH7-TTC4,0,0,1
PDGFRA,1,0,0
BUB1,0,1,0
C15ORF61,0,0,1
PENK,1,0,0
CDIP1,1,0,0
SRSF1,0,0,1
MAP4K1,1,0,0
DSEL,1,0,0
PLS1,1,0,0
ECSIT,0,0,1
SRRM4,1,0,0
KIF20A,0,1,0
ATIC,0,1,0
VPS18,0,0,1
CLTA,0,0,1
LBR,0,0,1
FCGR3B,0,0,1
NPHP4,0,0,1
FAM160A2,0,0,1
RRP36,0,0,1
CLDN8,1,0,0
ZNF589,0,0,1
ARHGAP4,0,0,1
DIS3L2,0,0,1
AOC3,1,0,0
FNIP2,1,0,0
SLC37A2,1,0,0
SVIP,0,0,1
MST1,0,1,0
CNKSR3,0,0,1
CGRRF1,0,0,1
IL36G,0,1,0
NUTM2A,1,0,0
MDP1,0,0,1
C5ORF52,1,0,0
C12ORF10,0,0,1
GCA,0,0,1
HCK,0,0,1
CNOT6L,0,0,1
C10ORF88,0,0,1
TMEM216,0,0,1
CALCOCO2,0,0,1
ARPC2,0,0,1
DDIT3,0,0,1
HRK,1,0,0
EPN2,0,0,1
KCTD8,1,0,0
CORT,0,0,1
LRRC25,0,0,1
XRN1,0,0,1
DHX8,0,0,1
ANXA11,0,0,1
TTC8,0,0,1
RSRC1,0,0,1
BCS1L,0,0,1
STX2,0,0,1
UNC93B1,0,0,1
PRDM2,0,0,1
FAM199X,0,0,1
MDK,0,0,1
ANKRD65,1,0,0
CINP,0,0,1
ZNF211,0,0,1
TP53I13,0,0,1
USP25,0,0,1
BAG1,0,0,1
ZNF623,0,0,1
RPS18,0,0,1
HIST1H2AM,0,0,1
UCHL3,0,1,0
RPS16,0,0,1
MAOA,1,0,0
TTF2,0,0,1
COL4A3,0,0,1
SNAP91,1,0,0
MAVS,0,0,1
SLC26A1,0,0,1
NAPG,0,0,1
CCDC84,0,0,1
NAB1,0,0,1
FIBP,0,0,1
MAP3K7,0,0,1
FASN,0,1,0
SUGP1,0,0,1
ASGR1,0,1,0
SGO1,0,1,0
ZFYVE21,0,0,1
TLE3,0,0,1
DDX54,0,0,1
EGLN2,0,0,1
PHC1,0,0,1
SF3A2,0,0,1
TRANK1,1,0,0
EHD2,1,0,0
PCOTH,0,0,1
CES3,1,0,0
PSAT1,0,1,0
NR1D1,0,0,1
TMOD2,1,0,0
DLC1,0,0,1
PNP,0,0,1
PRRG1,0,0,1
RNF113A,0,0,1
GJA5,0,0,1
CENPA,0,1,0
ADAMDEC1,1,0,0
CD74,0,0,1
SEMA5A,0,0,1
ATP8B2,1,0,0
XYLT2,0,0,1
SF3B4,0,0,1
SMIM17,0,0,1
MFAP3,0,0,1
NFKB1,0,0,1
FOXP1,0,0,1
RNF180,1,0,0
DEFA5,0,1,0
RP1,0,1,0
LINC00959,0,0,1
SP1,0,0,1
SCAMP5,0,0,1
PTCHD3,1,0,0
SRFBP1,0,0,1
RSL24D1,0,0,1
SLC17A1,1,0,0
FAM177B,0,0,1
SCARF2,0,1,0
MRPS2,0,0,1
GHR,1,0,0
SPECC1L-ADORA2A,0,0,1
TGM6,0,1,0
HK2,1,0,0
FAM118A,0,0,1
AQP4,1,0,0
TAGLN3,1,0,0
CST6,0,1,0
FAM193A,0,0,1
TPGS2,0,0,1
NDEL1,0,0,1
TXNRD2,0,0,1
KLF4,1,0,0
ATOH8,0,0,1
DNAH14,0,1,0
ZNF662,0,0,1
GTF2A1,0,0,1
UNKL,0,0,1
MFSD2B,0,0,1
PAM16,0,0,1
ACTR2,0,0,1
INPP5A,0,0,1
REXO5,0,0,1
CFDP1,0,0,1
PALD1,0,1,0
RNF181,0,0,1
SP7,0,1,0
TTC32,0,0,1
TRIM50,1,0,0
ING4,0,0,1
CYP46A1,0,0,1
TRMT6,0,1,0
ELMO2,0,0,1
TRIP6,0,1,0
EIF3I,0,0,1
BMP3,1,0,0
RNF170,0,0,1
MYZAP,1,0,0
PLA2G2D,1,0,0
GPBAR1,0,0,1
EPHA1,0,1,0
UGT2A3,1,0,0
FGF13,1,0,0
LMX1A,1,0,0
GRAP2,1,0,0
TMEM198,0,1,0
AC097372.1,0,0,1
FMN2,1,0,0
ZSCAN31,0,0,1
ATPAF1,0,0,1
IL22RA2,0,0,1
FARP1,0,0,1
COX6B2,1,0,0
TRMT61A,0,0,1
HMGA2,0,1,0
ZNF436,0,0,1
KAT8,0,0,1
TLCD1,0,1,0
COL1A1,0,1,0
RMDN1,0,0,1
PBOV1,0,1,0
BICRAL,0,0,1
STAU1,0,0,1
URGCP,0,0,1
TMEFF2,1,0,0
ATXN7,0,0,1
ATP6V1C1,0,0,1
SCAMP3,0,0,1
DSG1,0,1,0
BEND3,0,0,1
TEPP,1,0,0
PHACTR3,0,1,0
CSMD1,1,0,0
ARHGAP10,1,0,0
CD7,0,0,1
SPATA20,0,0,1
BAIAP2L1,0,0,1
GJB4,0,1,0
ZNF670-ZNF695,0,1,0
KCNJ2,0,0,1
POLR2F,1,0,0
MPV17,0,0,1
DEF6,0,0,1
BTC,0,0,1
HMGB2,0,0,1
DEPDC5,0,0,1
MTHFD1,0,0,1
RPL10A,0,0,1
SOX4,0,1,0
NKG7,0,0,1
LCN10,1,0,0
AGBL3,0,0,1
SMARCD2,0,0,1
NCOA1,0,0,1
DNAJB9,0,0,1
TMEM98,0,0,1
DDIAS,0,1,0
ATP5I,0,0,1
CLCN6,0,0,1
CPM,1,0,0
CFL1,0,0,1
TMOD3,0,0,1
UGT1A5,1,0,0
ANKZF1,0,0,1
THEMIS,1,0,0
ABCA9,1,0,0
KCNAB1,1,0,0
NANOS3,0,1,0
CGA,0,1,0
LRRC55,1,0,0
GCDH,0,0,1
L3MBTL1,0,1,0
PDZD7,0,1,0
KNSTRN,0,1,0
S100PBP,0,0,1
GRM8,0,1,0
LTBP4,1,0,0
LRRK2,1,0,0
AKR1C4,0,1,0
LRRN4CL,1,0,0
HOXC12,0,1,0
HIST1H4B,0,1,0
DMD,1,0,0
C16ORF45,1,0,0
RAB3GAP1,0,0,1
BLZF1,0,0,1
GPR15,1,0,0
KLHL5,0,0,1
NYX,1,0,0
ANKRD13C,0,0,1
TPM3,0,0,1
FNDC7,0,1,0
FGD4,0,0,1
HTR1F,0,0,1
OIP5,0,0,1
MOAP1,0,0,1
IP6K1,0,0,1
TMED2,0,0,1
FGF12,0,0,1
S100Z,1,0,0
SMS,0,0,1
IDUA,0,0,1
SMIM28,1,0,0
DYNC1LI2,0,0,1
SEL1L3,0,0,1
SRR,0,0,1
CTXN2,1,0,0
CCND1,0,1,0
KCNJ15,0,1,0
ICA1L,0,0,1
NUDT19,0,0,1
C1ORF198,0,0,1
CEND1,1,0,0
OXR1,0,0,1
RNF212B,0,0,1
DBR1,0,0,1
EPHA2,0,0,1
EN2,0,1,0
SPINK4,0,1,0
YEATS2,0,0,1
OTUB1,0,0,1
GAPT,1,0,0
PTK2,0,0,1
SLC25A5,0,0,1
PRR22,0,1,0
ING5,0,0,1
MSH5,0,1,0
FAM13C,1,0,0
CEP250,0,0,1
HLA-DOB,1,0,0
SLC5A6,0,1,0
MAD1L1,0,0,1
MYBPHL,0,1,0
EMC9,0,0,1
CYB5D2,0,0,1
PIGV,0,0,1
CCDC106,0,0,1
MIF,0,1,0
HNRNPM,0,0,1
SLC39A11,0,0,1
ZCCHC2,0,0,1
PLD3,0,0,1
ADAM22,0,0,1
SDHB,0,0,1
SLC4A10,1,0,0
CLSTN3,0,0,1
KRT34,0,1,0
MMP25,1,0,0
C8ORF34,0,0,1
TMEM140,1,0,0
STXBP6,0,0,1
FOXG1,0,1,0
PIMREG,0,1,0
ADGRD2,0,1,0
DMP1,0,1,0
PSMC4,0,0,1
CASP5,1,0,0
CHGB,1,0,0
RETSAT,1,0,0
MLXIPL,0,1,0
PCBP2,0,0,1
DLEC1,0,0,1
BLNK,0,0,1
ADAMTS20,0,1,0
SPTBN1,0,0,1
EIF4A3,0,0,1
LYNX1,1,0,0
ZNF658,0,0,1
C2ORF80,1,0,0
NUF2,0,1,0
CDC14A,1,0,0
EME1,0,1,0
SERTAD4,1,0,0
IFNGR1,0,0,1
SH2B2,0,0,1
SERINC3,0,0,1
HSPB7,1,0,0
ZNF66,0,0,1
WDR38,0,1,0
SYNE4,0,1,0
C6ORF201,0,0,1
BOLA3,0,0,1
KIAA1257,0,1,0
LHX5,0,1,0
MLH3,0,0,1
CATSPER4,0,1,0
CD200R1L,0,1,0
CLK3,0,0,1
LRRC4B,1,0,0
ANLN,0,1,0
JAKMIP3,1,0,0
ZNF786,0,0,1
NRIP2,0,0,1
NKAP,0,0,1
AGAP4,0,0,1
KLF15,1,0,0
TNS4,0,1,0
ARHGEF1,0,0,1
CATSPER2,0,0,1
NARF,0,0,1
ECT2,0,1,0
VAMP4,0,0,1
PTPRT,1,0,0
TINAG,1,0,0
FBXW5,0,0,1
KRTAP3-1,0,1,0
WNT9A,1,0,0
ZNF282,0,0,1
FAM19A4,1,0,0
DLG2,1,0,0
SH3BGRL,1,0,0
ATP11A,0,1,0
GLYR1,0,0,1
ZNF219,0,0,1
RNF220,0,0,1
FRMD1,1,0,0
PDE4DIP,0,0,1
SLC15A2,1,0,0
MSLN,0,1,0
PHLDA2,0,1,0
RHOC,0,0,1
SKP2,0,1,0
RNF44,0,0,1
C10ORF113,0,1,0
FGD6,0,0,1
AP000275.2,0,0,1
POLM,0,0,1
TRDN,1,0,0
IL17C,0,1,0
RHOG,0,0,1
PPP2R5A,0,0,1
UCHL1,1,0,0
ZNF3,0,0,1
STK11,0,0,1
PLPBP,0,0,1
NDUFAF5,0,0,1
KLHDC4,0,0,1
KIF16B,0,0,1
RAB24,0,0,1
SLC25A12,0,0,1
ARID3B,0,0,1
GPR12,1,0,0
ZNF727,1,0,0
RAB11A,0,0,1
KRT17,0,1,0
USP53,0,0,1
DTD1,0,1,0
KIAA1683,1,0,0
TSGA10,0,0,1
FNDC9,1,0,0
TRIM21,0,0,1
LIME1,0,1,0
RPL5,0,0,1
AMDHD2,0,0,1
SMN1,0,0,1
SON,0,0,1
PCP2,0,1,0
AADACL2,1,0,0
HBQ1,0,1,0
ZNF83,0,0,1
TADA3,0,0,1
TAOK3,0,0,1
COL1A2,0,1,0
ALOXE3,0,1,0
PCDH20,1,0,0
PCSK9,0,1,0
TWIST1,0,1,0
TYROBP,0,0,1
BCL7A,0,0,1
ZDHHC4,0,0,1
GABRR1,0,1,0
NKD2,0,1,0
NCF4,0,0,1
PTPRU,0,1,0
ZNF585B,0,0,1
TSFM,0,0,1
ORAOV1,0,0,1
ZNF516,0,0,1
GJB5,0,1,0
TKT,0,1,0
NDUFV2,0,0,1
NUDT5,0,0,1
CCDC184,0,0,1
FOXC1,0,1,0
SORD,0,1,0
PTPRC,1,0,0
ACSL5,0,0,1
VAPB,0,0,1
NECTIN3,1,0,0
OLFML2B,0,1,0
HADHB,0,0,1
TRPV5,0,1,0
OSBPL9,0,0,1
CLCA4,1,0,0
NFATC1,0,0,1
SFPQ,0,0,1
TALDO1,0,0,1
KCTD10,0,0,1
MASP2,0,0,1
MORN5,1,0,0
C6ORF15,0,1,0
ACBD4,0,0,1
C21ORF91,0,0,1
TICRR,0,1,0
HR,0,0,1
GDPGP1,0,0,1
CUEDC2,0,0,1
TERF1,0,0,1
ZNF766,0,0,1
TENM4,0,0,1
MIDN,0,0,1
FOXRED1,0,0,1
RHBDF1,0,0,1
PRSS8,0,0,1
ATAT1,0,0,1
SND1,0,0,1
SKA1,0,1,0
NR1H4,1,0,0
KY,1,0,0
CA1,1,0,0
ARL6IP5,0,0,1
OR1Q1,0,1,0
NEFL,1,0,0
GBP2,0,0,1
ZDHHC15,1,0,0
APEX2,0,0,1
CAV3,1,0,0
AL513165.2,0,1,0
RASGRF1,0,1,0
PRL,0,1,0
TMCO3,0,0,1
LENG8,0,0,1
DHRS13,0,0,1
RPL31,0,0,1
PVR,0,0,1
FBXO6,0,0,1
PPM1H,0,1,0
ZMYM2,0,0,1
ATP6AP1,0,0,1
CACNA1H,1,0,0
KLK2,0,0,1
THOP1,0,0,1
REG4,0,1,0
ALG14,0,0,1
TCEA2,0,0,1
YIPF5,0,0,1
APRT,0,0,1
GSTM1,1,0,0
RUVBL2,0,1,0
KLRD1,0,0,1
CD63,0,0,1
SMC4,0,0,1
ST3GAL5,0,0,1
UQCRFS1,0,0,1
TYR,0,1,0
HHLA1,0,1,0
CRACR2A,0,0,1
PRPH2,1,0,0
SBF1,0,0,1
SEC23A,0,0,1
PCGF5,0,0,1
CRHBP,1,0,0
HEATR3,0,0,1
ACSM5,1,0,0
AGK,0,0,1
CLEC18C,0,1,0
PICALM,0,0,1
PRRC2C,0,0,1
CCDC183,0,0,1
CYYR1,0,0,1
PPM1D,0,0,1
FBLN1,1,0,0
HIST3H2A,0,1,0
FOXRED2,0,1,0
AP4M1,0,0,1
G6PC2,1,0,0
SPI1,0,0,1
PLEKHO1,1,0,0
STAG1,0,0,1
LMLN,0,0,1
FOPNL,0,0,1
AFP,0,1,0
KANK3,0,0,1
CCDC167,0,0,1
CAVIN2,1,0,0
ACSM4,1,0,0
PCDH10,1,0,0
NPR2,0,0,1
PTGER2,0,0,1
AKR1E2,0,1,0
PSMB4,0,0,1
CPSF6,0,0,1
RRAS,0,0,1
WNT11,0,1,0
AQP7,1,0,0
ZNF598,0,0,1
MRPL17,0,1,0
DMRTA2,0,1,0
MED19,0,0,1
CSNK2A3,0,0,1
PSMD7,0,0,1
SYNJ2BP-COX16,0,0,1
TMEM63A,0,1,0
RBFOX3,1,0,0
CDH11,0,1,0
INPP5K,0,0,1
ZSCAN23,1,0,0
AC138811.2,0,0,1
RAB42,1,0,0
ATP6V1D,0,0,1
STK36,0,0,1
SPDYC,0,1,0
ATP10B,0,0,1
TEF,1,0,0
EDRF1,0,0,1
AC010132.3,0,1,0
CBLN1,0,1,0
