,log2FoldChange
PEX19,2
HTR3B,0
MYO18A,0
PDE1A,0
SGO2,2
SKA2,2
MYO9B,2
HIST1H3B,1
RELT,1
UBXN10,0
TBL1XR1,2
ART1,0
NAGK,2
RIMS2,1
FZD6,1
ATP2C1,2
C14ORF80,1
CAPN7,2
RASGEF1A,1
TCAP,0
ANP32E,2
SHISA4,0
ARHGEF1,2
CTSC,1
GRB14,0
INTS8,2
CLCN3,2
OGFRL1,0
SKA3,1
ALAS1,2
CEP131,2
ZFP41,2
CLIC4,2
RGS19,2
PCBD2,2
ECM1,0
OAS3,1
DMBT1,0
FBXO5,2
PAQR4,1
FILIP1,0
ACSS2,2
DLEU7,1
HOXB8,1
MEIS1,0
POFUT1,2
TNFSF11,1
TNFRSF12A,1
CCM2,1
ARHGAP20,0
RFC5,2
LASP1,2
TMEM44,1
TYMS,1
RAB9B,0
DIAPH3,1
SLC6A7,1
BORA,1
RECQL4,1
SGCA,0
DLX2,1
SPRR3,0
PITX1,0
STAC3,0
CLEC12A,1
RSPO3,0
DCAF6,2
PSCA,0
PDE4C,0
EGR1,0
PPP3CB,2
IL36A,0
EIF4EBP2,2
IMPDH1,1
TMEM120A,2
DCAF15,2
PRR15L,0
BIN1,0
EPS8L1,0
PIK3C2B,2
CFAP70,0
NVL,2
WDR78,0
PZP,0
APBB1,0
VPS13D,2
FRY,0
CX3CR1,0
LAG3,1
C9ORF135,0
TUBB3,1
DIO1,0
TJP1,2
PEX11A,2
CA8,0
C17ORF67,2
MKRN2,2
ZNF823,2
IFNL1,1
SYT5,1
SCGB2A1,0
NCOA7,0
CCSER2,2
MFSD6L,0
CAV1,1
ARIH2,2
RAG1,1
RASL11B,1
BEND6,1
MSH6,2
MT1M,0
SNTN,0
KIF11,2
ERBB3,0
SYNPO2L,0
ANGPTL7,0
SLC3A2,2
EIF3L,2
ABHD1,0
GLP1R,0
HMCN2,0
FAM71F1,1
ZFR2,1
SPNS3,0
C6ORF10,1
ANXA13,1
ARL6IP5,2
CCL15,0
AATF,2
POLE2,1
FAM72C,1
C20ORF204,1
MB21D2,1
ACADS,0
C19ORF84,1
ZWILCH,2
FAM216B,0
C1ORF116,0
IFIT1,1
MC1R,1
KRTAP3-1,0
LAMA1,1
KRT3,0
MYL6B,0
TLX3,1
FANCG,1
SLC51B,0
F8,0
C6,0
KLF9,0
SPDEF,0
LEXM,0
CYSLTR1,0
PTPRN2,0
NT5C2,0
CDH26,0
SMPD4,2
NR4A1,0
C5ORF46,0
EFCAB6,0
EXOC3L4,1
CDK4,2
SLC44A1,2
LY6E,1
C11ORF87,1
PLD6,1
NTRK3,0
KCNMB3,1
CAVIN3,1
MYOM3,0
ONECUT1,1
ACHE,0
GDF7,0
IDO1,1
PER2,0
FANCE,2
DLX1,1
GPR161,1
L3HYPDH,1
ZNF385D,0
UPRT,2
PIGN,2
ETFRF1,2
CBX2,1
NUDT12,2
C12ORF75,1
SCN8A,1
SPNS1,2
TPM1,0
BUB3,2
SIK2,2
SLC7A8,1
SYTL4,0
JPH2,0
FCER1A,0
GJC3,0
AP5Z1,2
VSIG10L,0
XCL1,1
KIAA1468,2
PLCB4,0
TMED3,2
CENPM,1
TCN1,0
PLEKHS1,0
CHAF1A,2
HIST1H2BH,1
AGTRAP,1
AOC3,0
SMTNL2,0
ARID3A,2
SLCO1B1,1
APOBEC3B,1
PGF,1
RDH8,1
XAF1,1
GFRA1,0
FRMPD2,0
NCS1,2
SCHIP1,0
LRRC3,1
PTK2,2
LAMP3,1
SFXN3,1
CSN2,0
ANKRD2,0
IPP,2
EMC3,2
HADHA,2
LINC00959,0
JADE1,2
SLC19A2,0
FAM172A,2
HIST1H2BD,1
PLBD2,2
HELLS,1
RASD1,0
KLHL32,0
ACSM5,0
ELOVL6,0
MYO7B,1
MDC1,2
DDX55,2
SAMD1,2
GANAB,2
VSIG1,1
FLNC,0
PALMD,0
LOXL3,1
VIT,0
CHRDL1,0
DBF4,2
LUM,1
SLC12A5,1
MIOS,2
ZNF185,0
QRICH1,2
RTBDN,1
PCNA,2
FUT3,0
GDI1,2
CGN,0
RIIAD1,0
MAGI3,0
SPARCL1,0
PSG5,1
MIDN,2
TOM1,2
FCHO1,1
DNAJC28,0
AMTN,1
SPTB,0
CSN3,0
NTM,1
DISP2,1
HPCA,1
ALDH1L1,0
SRPK3,0
HOXD1,1
LRP12,1
TGM3,0
RCOR2,1
SDCCAG3,2
FKBP10,1
MNX1,1
IFNK,1
SPACA9,0
PAK2,2
C8ORF34,0
WDR31,0
TOPBP1,2
TACR1,0
GBE1,2
HTRA4,1
MACROD1,0
NUDT11,1
HOXC5,1
GDPD2,1
LAMC1,1
TAGLN2,2
BID,2
RASGRF1,1
ATP1B3,2
PTDSS1,2
HEBP2,2
NEXN,0
MOB4,2
SCN4A,0
STK40,2
CPPED1,2
ANO8,2
U2SURP,2
TPST1,1
INF2,2
SEMA5B,1
PCNT,2
KRTAP19-1,1
DRD5,1
ACTA1,0
YPEL2,2
CBX1,2
HMGCLL1,0
ZNF555,2
RAB17,0
SLC6A4,0
PAQR8,0
ADGRE1,1
ITGA1,1
LGALS12,0
ERFE,1
ABRAXAS1,2
APOLD1,0
FOXP3,1
RASSF5,0
ANGPT2,1
PCF11,2
DONSON,2
NCF2,1
GOLGA6L2,1
BRAT1,2
KDM1A,2
PSMB9,1
KIAA1456,0
FUCA2,2
PHF24,1
CCDC77,2
TCFL5,2
CBX8,2
EPYC,1
HDAC5,2
GREM1,1
DDIAS,1
MAZ,2
CCDC110,0
ACAA2,0
CES2,0
YDJC,2
MANSC1,0
GPX8,1
MTIF3,2
ADGRF1,0
NISCH,2
PBX4,1
PRSS53,1
ACTL8,1
DVL3,2
GTF2IRD2B,0
ZNF626,0
NATD1,0
MAP6,0
NKX3-1,0
ST6GALNAC1,0
PABPC1L,1
IL13,0
ARFGAP1,2
APOL1,1
LRRC15,1
DDX60,1
RTTN,1
KLHDC1,0
PRKACA,2
TADA2B,2
FBXL5,2
CYSRT1,0
TMC8,1
USP25,2
SMAP1,2
GATM,0
DCT,0
MKNK2,2
CLN8,2
TRIM55,0
CMPK2,1
BICDL2,0
BEX4,0
TBX3,0
BBS2,2
HIBCH,2
ATP5F1,2
PDCD1LG2,1
MED10,2
TAP1,1
RAB32,1
NRG3,0
GPRC6A,0
FAM135A,0
GABARAP,2
CXCL10,1
RIPK2,2
DUSP26,0
HP,0
CPNE7,1
FXYD4,0
AGPAT3,2
STRA8,1
DDX58,1
MCM3,2
GUCA1A,1
ME3,0
FGF5,1
OTC,0
PRADC1,2
ZMYND11,2
FOXI3,1
FAIM2,0
SLC39A4,1
MTERF3,2
ACOT9,2
DTX3L,2
ANO1,1
RGS9BP,0
ACVR2A,2
IQCM,1
CLASP2,2
ADIPOQ,0
SLC44A4,0
NNAT,0
CHSY3,1
SH2D4A,0
IGDCC4,0
MGAT4A,0
TCTE1,0
CNPPD1,2
CCT5,2
STON2,1
SLK,2
CSMD3,1
SIX1,0
ARHGAP27,2
TMEM39A,2
ZBTB32,1
RRM2,1
RBM24,0
C20ORF141,1
GLIPR1L2,0
DOK5,0
ZNF25,2
SKP2,2
MAN1C1,0
DIRC1,1
CA14,0
NEBL,0
FOXL2NB,1
ZP2,0
TYMP,1
KIF1B,2
LRRN4,1
OXR1,2
TLCD2,2
SIAH3,0
PIPOX,1
PLCD4,0
C9ORF84,1
LHX2,1
TCOF1,2
CCNA1,1
DNAJA4,0
LCA5L,0
WNT7B,1
RSPH4A,0
VWA7,0
CCDC148,0
PKHD1L1,0
SLC52A1,1
CDH3,1
SGO1,1
TNNC1,0
LRRC43,0
C19ORF66,2
CERS5,2
TMEM254,2
MACC1,0
CHMP2B,2
ARFGEF3,0
PPT1,2
FKBP14,2
MRGPRE,0
ULBP1,1
KIRREL1,1
HELZ2,1
HHIPL2,1
ADGRD1,0
CSPG4,1
STAT1,1
RBFOX1,0
HIST1H2BJ,1
BFSP1,1
FGF10,0
LRRK2,0
PDE7A,1
SLC25A32,2
SIN3B,2
CMA1,0
ZNF415,0
SRSF8,2
GPNMB,1
NOBOX,1
ZNF561,2
C1ORF115,0
ANKRD35,0
KLHL41,0
IGFL3,1
KIF9,2
ABCA9,0
SSBP2,0
LIPE,0
SUCLG1,2
GSN,2
TEKT3,0
METTL25,2
GFOD2,2
HIST1H1E,1
AC010616.1,1
C2CD2L,2
ABLIM2,0
CMSS1,2
FMNL2,2
DAGLA,0
SLMAP,2
CHRNA6,1
B3GNT7,0
PXN,1
SMYD3,1
ARSG,2
EDNRB,0
NUP155,2
IFI30,1
ARHGAP11B,1
TMEM150B,1
RILP,2
GTF2E1,2
PLP1,0
TFRC,1
FOXH1,1
TAX1BP1,2
VPS4B,2
PTCH2,0
CLCN2,1
PITX3,0
GPRASP2,0
TXNDC2,1
FGF7,0
ACP5,1
SLC15A2,0
ANKLE1,1
FLNA,1
MUC15,0
CTTNBP2,0
SKIL,2
SLC36A1,2
WRAP73,2
ATP5S,2
HID1,0
HIST1H3J,1
DMPK,0
SSTR1,0
SPAG16,0
TNNT3,0
PLEKHM1,2
TRPM2,1
TMEM178A,0
SP9,1
WDR76,1
NDOR1,2
ERVV-2,1
TMEM158,1
FBXO39,1
LYPD1,1
VRK1,2
ABLIM3,0
CCL5,1
STK33,0
HLTF,1
AMH,1
TNFRSF10B,2
ADH1A,0
LIN28B,1
AFAP1L2,1
KRTAP11-1,0
CLPTM1L,2
HRC,0
SBK2,0
UFC1,2
ZPLD1,1
RFC3,2
PDCD6IP,2
C3ORF49,0
C16ORF45,0
HPS3,2
HDHD2,2
CCT6B,0
ODF4,0
TRAIP,2
MAGOHB,2
CHRAC1,2
HEPACAM2,0
LRFN2,0
BOLL,0
EPDR1,0
LRR1,2
PTX4,1
SGCG,0
C10ORF90,0
SYT14,1
MYH13,0
SYT16,1
DDAH2,2
PSORS1C1,1
PAX5,1
SLAMF8,1
SASS6,2
DDO,0
ABI3BP,0
CNTFR,0
MIS18A,2
FAM91A1,2
PQLC2,2
SMCO2,1
NTN4,0
SLC25A17,2
MYBPC1,0
HECTD1,2
IL4I1,1
TRIM15,1
PCGF1,2
AMIGO1,0
TC2N,0
DUSP1,0
LGALS1,1
GULP1,0
PRNP,1
FOS,0
SLC8A3,0
MROH8,0
NEMP2,2
KRT40,0
FBXO45,2
CHEK2,2
VIPR2,0
NASP,2
PLEKHN1,0
CHPF2,2
NGLY1,2
HIST1H2AL,1
RDH16,1
TMEM125,0
FRMPD1,0
TECPR1,2
BASP1,1
NDUFAF1,2
CILP,0
PADI3,1
IQGAP2,0
STX2,2
SERPINA9,1
SELENOK,2
NUP107,2
MYH7B,0
RETREG1,0
OCLN,0
AES,2
GABRD,1
ACOD1,1
MAP3K8,0
A2ML1,0
SLC10A5,0
RPTN,0
GPR153,1
KIAA0930,2
KMT5C,2
DDX39A,2
ADAMDEC1,1
FOXE3,1
TIFA,2
HIST1H2AM,1
DZIP3,2
C15ORF52,0
SNAPC1,1
IL7R,1
CYP21A2,0
HMX2,1
TAP2,2
ENAM,0
BTC,0
ARL6IP1,2
ECSCR,0
S1PR5,1
HNMT,0
DGCR6,0
HLF,0
IL17F,0
VILL,0
NUDT1,1
TTC31,2
CRACR2A,0
ADAM19,1
NTSR1,1
NLRC5,1
SNRPN,0
ACRV1,1
SLC25A46,2
TMEM252,0
CFAP46,0
WDR26,2
SLC30A2,0
SLC6A2,1
ORAOV1,1
TMEM52B,1
BRIP1,1
CENPH,2
ZNF582,0
RNF146,2
KCNQ4,0
S1PR1,0
KLF4,0
XPNPEP2,0
CHPF,1
MET,1
RAET1E,0
MBD4,2
NPSR1,1
ZNF541,1
NIPA1,2
VEGFC,1
SPINK1,1
ILF3,2
DCP1A,2
ZNF425,0
NCLN,2
DCAF13,2
CPSF1,2
GNAS,2
COTL1,2
SDK2,1
ZSWIM8,2
DNAH12,0
PYCR3,2
FJX1,1
FAM177B,0
MYH6,0
CAVIN2,0
HLA-F,1
LSR,2
HIST1H2AE,1
STRA6,1
WARS,1
FRMD4B,2
FBXW7,2
TXNL1,2
SORCS1,0
APBB2,2
DMP1,1
TNFRSF19,0
ADCY10,1
TTPAL,2
GTF2IRD2,0
ALDH2,0
ADGRB3,0
KLF2,0
PPP1R3A,0
GRIA3,1
SCN11A,0
APELA,1
PHACTR2,2
CDC7,2
PRIM1,2
PRDM13,1
CEND1,1
THBS2,1
CRADD,2
SCLY,2
TRDN,0
POLR2H,2
MS4A8,0
RFLNB,1
NSD2,2
MPHOSPH8,2
DDHD1,2
KCNAB3,1
ESCO2,1
EEF1B2,2
UNC45B,0
GNG8,1
ESPNL,1
HLA-B,1
HK3,1
AUH,2
NKAIN3,0
TEX19,1
RALGAPA2,2
ODC1,1
ZC2HC1C,0
CEACAM7,0
COX7C,2
PLPP3,0
ATP13A4,0
SLC27A1,2
ADAMTS8,0
DDIT4L,0
UBE2L6,1
ZNF697,2
TH,1
TOP1MT,2
PRPH2,0
NAV1,1
AC040162.4,1
TIGD4,0
COX6A2,0
RBL1,2
TP53I13,2
EEF2,2
C4ORF48,1
PTTG1,1
DYM,2
VOPP1,1
CCDC186,2
HENMT1,1
TCTE3,1
IGF2BP3,1
CALR,2
TSKS,1
FHL5,0
ELMO2,2
NKIRAS1,2
MYADML2,0
GYPC,0
LRRC8D,2
FCGR3A,1
TMEM189,2
TFCP2L1,0
ATL1,0
MED15,2
AKAP1,2
KLHL34,0
ERVMER34-1,1
ATP13A3,2
PGGHG,1
CLCN7,2
CIT,2
GLS,2
MAD2L2,2
CENPK,1
HES7,1
H1FX,2
MMP17,1
CD34,0
SCUBE3,1
CDR2,2
MTFR1,2
GDF6,1
PHF19,2
B3GNT9,2
GAREM2,1
C5ORF34,1
GATA4,1
CLEC11A,1
JAG2,2
ABCD1,2
CASK,2
CCDC13,0
CDR2L,1
SYNDIG1,1
SYTL2,0
BSPRY,0
ZNF695,1
RORA,0
CEP85L,0
C11ORF54,2
PTK6,0
C1ORF216,2
MSS51,0
XXYLT1,2
LIN52,2
POLE,2
PDGFD,0
PCDHB9,1
PCOTH,0
PLLP,0
GNB1,2
AC040162.1,1
PDLIM3,0
SCARA3,0
HIST1H2BL,1
CEACAM5,0
SEPT3,1
MUT,2
APP,2
KRTAP13-2,0
FYB2,0
OLFML2A,1
CCDC87,1
SLC18B1,2
NTRK1,1
BPIFB1,0
KIAA1549L,1
TM6SF2,1
ZBP1,1
DUOX1,0
AGR2,0
MAGEC1,1
LCLAT1,2
DTYMK,2
CLSTN1,2
ADD2,1
HMSD,1
FGFR4,1
CISD2,2
BOP1,1
GPRC5B,0
MRO,0
DOCK9,2
C8ORF22,0
ZNF696,2
CLTCL1,0
NMNAT1,2
CNTNAP2,1
TK2,2
LMOD3,0
BCKDHA,2
LIMD2,1
SPRED3,1
ZNF552,2
DLGAP3,1
C10ORF95,0
HIST1H3C,1
TNNI1,0
ALKBH6,1
S100A14,0
CXCL12,0
ITPR3,2
SNX24,2
ENTPD5,2
C4B,0
AKR1E2,1
CXCL17,0
SYNGR4,1
GOLPH3L,2
SNX21,2
RSPO1,0
SERPINA3,0
C2CD4C,1
SHC1,2
HAGHL,1
CLOCK,2
1-Dec,1
GYG1,2
TIGIT,1
SMC2,2
SERPINB11,0
SCGN,0
FAM219A,2
TRIM63,0
DMRT1,1
RAI2,0
SIGLEC15,1
IFIH1,1
GEN1,2
NDUFA4,2
NBR1,2
IL2RA,1
LRP8,1
CTNND2,0
CHML,2
POT1,2
NMB,1
ANKRD53,0
MOB3A,2
ADRA1B,1
PLPPR5,1
VWA8,2
UPK1A,0
TOM1L2,2
DGKI,1
MPP4,1
HIST1H4E,1
DET1,2
SERAC1,2
KIAA0408,0
COL6A2,1
MEF2C,0
TRMT44,2
CUL5,2
SYNC,0
DWORF,0
SRGAP2,2
HIST1H2AJ,1
CCR8,1
PSMD11,2
CPA6,1
PAG1,1
C4ORF46,2
MPRIP,2
RNF125,0
C4ORF19,0
AC005726.2,2
HACD3,2
KLHL42,2
RNF115,2
PDIA3,2
SOBP,0
DPY19L1,2
KMO,1
HIST2H2BF,1
BNIPL,0
CORO1C,2
NUAK2,0
ECHS1,2
CBX7,0
TMOD3,2
DCSTAMP,1
TNFAIP8L3,0
IFNL3,1
CDK6,1
CEACAM6,0
R3HDM1,2
ZNF540,0
TNFRSF18,1
CAPN9,0
IL34,0
VWA2,0
FEZF1,1
LGALS3,2
IL12RB2,1
EPHB4,2
RHBDD3,2
E2F3,2
MS4A15,1
MFSD10,2
WT1,1
RSAD1,2
KANK3,2
PAPD7,2
CH25H,0
CAD,2
NCCRP1,0
SEMA7A,1
EPHA8,1
FCGR2A,1
RTEL1-TNFRSF6B,1
PCDH17,1
UNC13B,2
GPR162,0
PRPF4,2
HIGD1A,2
BNC1,1
KIAA0825,2
SNX1,2
SNRPA1,2
C2ORF71,0
CLEC1B,1
ZNF7,2
PTGFR,0
ADGRE2,1
CD302,0
PLEKHG2,2
MCEMP1,1
OTULIN,2
AC020915.2,2
EHD2,2
HIST1H1B,1
AGBL1,0
TMCO5A,0
GCOM1,0
ABCA5,2
F2,1
SLC25A36,2
PLCXD2,1
MMAA,2
ZNF330,2
ANAPC16,2
COQ7,2
JAG1,2
TMEM170B,0
POLR2K,2
RPA3,2
EPOR,2
SLC17A5,2
CMTM1,1
EPM2AIP1,2
LMOD2,0
PECR,2
SCNN1A,0
MBLAC2,2
CDK9,2
IL12A,0
SYNJ2BP,2
LIN9,2
SLC13A4,0
AR,0
CRYBA2,1
NRBP2,2
C12ORF29,2
ITPR2,0
RARRES1,0
MYO18B,0
PBRM1,2
KIAA0556,2
ADGRG2,0
FAM57B,0
PTPRK,2
TMEM80,2
HIST1H1T,1
RXFP3,1
TMEM104,2
BMX,0
NPEPPS,2
NMI,2
CA4,0
PPFIA1,1
HTATIP2,2
MAST1,1
PATJ,2
PDGFA,1
TMEM106C,2
OLR1,1
TRIO,2
ANGPTL6,2
TSPAN9,2
NUP62CL,1
RAD51D,2
FBXW11,2
KCNQ1,0
RAB25,0
CD109,2
KRT9,1
CLUL1,0
JAM2,0
ACVR1C,1
ASB10,0
DDAH1,0
RPL3,2
SVEP1,0
APOBEC2,0
KAT2A,2
RCBTB2,2
BGN,1
HACE1,2
MYH11,0
TCTEX1D1,0
CHRNA5,1
MBOAT7,2
C7,0
F2R,1
SCRG1,0
CRYBG2,0
FUS,2
HLA-G,1
TLR6,1
HMGXB3,2
CYSLTR2,1
FAM107B,0
NOP53,2
TMEM262,2
JPH3,1
MSRA,2
TYR,0
GPATCH2,2
ITGAX,1
PCYOX1,2
CPB1,0
DENND2C,0
ANG,0
CACNA1S,0
MRPL47,2
PVR,2
ARHGAP36,0
FAM24B,1
GSKIP,2
ICA1,0
CITED2,0
TUBG1,2
TBC1D22B,2
CLEC7A,1
TCF19,2
ATP6V1C2,0
SFR1,2
SP110,1
ZBTB7B,2
PRB2,0
CABLES2,2
CIRBP,2
NPHP1,0
BEND7,0
MMEL1,0
NXPH3,0
ARHGAP12,2
CCDC129,0
CTAG2,1
BEX3,2
MALL,0
ARSJ,1
CAVIN4,0
PTGDS,0
FAM3B,0
MYO5C,0
TOR1A,2
ANKLE2,2
B4GALT5,2
NKX2-2,1
FLYWCH1,2
FAM167B,1
VAT1,2
RHBG,0
GSTK1,2
NIPAL1,0
OAZ2,2
NUTF2,2
NDUFS7,2
AJUBA,2
MYL2,0
RAB11FIP1,0
MUSTN1,0
SEC14L3,0
BRINP1,0
TUBA8,0
MYPN,0
TFAP2E,1
FOXK1,2
SMYD1,0
RIMBP3,1
FGF18,0
SP100,2
RUNX3,1
PNMA1,2
CTSG,0
ETV1,0
DCD,0
FOXC2,1
EPC1,2
VASP,2
BFAR,2
HIST1H2BE,1
ADAM10,2
ITGA2B,1
DRD2,0
MTHFD2,2
RC3H1,2
TMTC3,2
BCAT1,1
CSTA,0
MAK,0
NSF,2
APOC1,1
DHRS11,2
MGAT5B,1
USP16,2
IFNL2,1
GAB1,2
APMAP,2
TMSB10,1
GABRE,1
MAP2K3,2
RNF150,0
HIBADH,2
KIF13B,0
PTPRR,1
ITGAV,1
NLGN2,2
TMEM144,2
ART4,0
CENPW,1
WFDC6,0
AC020922.1,1
JSRP1,0
SEC11C,2
TAPBP,2
LCA5,0
RNF215,2
EGR3,0
PIEZO1,2
LGALS3BP,2
GHITM,2
HLA-A,1
KCNA5,0
SLC1A1,0
ZNF623,2
PPP1CB,2
HEYL,1
UQCRFS1,2
ZNF43,0
HDGF,2
VPS37B,2
GLA,2
DEK,2
SAA2-SAA4,0
EXOSC2,2
CAMTA2,2
ATOH8,0
NCOA4,2
CRISP2,0
PKHD1,1
CCDC121,2
HOXD4,1
TICAM1,2
TRAK2,2
IL1A,1
NR1D2,2
PDHA1,2
CCL20,1
NPHP4,2
TMEM212,0
PRPS1,2
MARC2,0
ABCB4,0
MFAP4,0
NAT14,1
DPPA2,1
DIO2,0
CCDC120,2
MAGEB6,1
C8ORF44,2
ACTN2,0
CPSF3,2
XKR9,1
CHST9,0
DOK3,1
ASPHD2,2
SLC25A16,2
BLACE,1
EXT2,2
ZSCAN18,0
TNFAIP8L1,2
AL365205.1,2
PHF5A,2
ZNF396,0
CNPY4,2
ATP1A4,0
C4ORF3,2
C1ORF189,0
AL049839.2,0
EEA1,2
APOOL,2
HSD3B1,0
ZNF429,0
KCNJ13,0
PARP2,2
LAMTOR3,2
NUTM2F,1
SPERT,1
UBE2J1,2
SLCO6A1,1
PP2D1,2
LRG1,0
SYT1,1
KANSL1L,2
HIST1H2BN,1
HIST1H4K,1
NEURL2,0
PLSCR3,2
MRPS36,2
SLC9A5,1
MMP19,1
RGS7BP,0
TECRL,0
NUP37,2
PTPN12,2
DLD,2
IFI16,2
ETFA,2
SMIM24,1
C9ORF66,0
NR4A3,0
SDS,1
ZNF135,0
PBK,1
GKAP1,0
MAB21L3,0
SNED1,0
ISM1,0
CDYL2,1
KYNU,1
ACLY,2
ACTG2,0
HFE2,0
HIST1H2BM,1
YIPF7,0
MUC5AC,0
LHX3,1
MAMDC2,0
HS1BP3,2
GSTM5,0
SOCS3,0
PRR5L,1
TTLL9,0
DARS2,2
ZNRF1,2
SCAMP2,2
LPAR2,2
PPM1B,2
ZNF280A,1
LSG1,2
CDHR2,1
PREPL,2
STAM2,2
ZNF471,0
GLG1,2
RTP3,1
MPP5,2
RXFP1,1
MPZL3,0
NXPE1,0
EPB41L3,0
GPR150,1
APOL5,0
AEBP1,1
CA10,0
C15ORF48,0
MSH5,1
DBR1,2
ZFYVE28,2
NRSN2,2
EDDM13,1
GUCA1C,1
RNF225,0
STAG3,1
POLR2F,0
EFTUD2,2
CAMK1G,1
MYH2,0
CBR4,2
CCDC88A,2
GJB7,1
ISCU,2
GAS2,0
ZNF484,2
PAPLN,1
SGSM1,0
ADGRB2,1
FAM8A1,2
MFSD13A,2
PILRB,1
CFL1,2
H2AFZ,2
ECH1,2
PRDX3,2
ENAH,2
AP1S2,2
C7ORF49,2
GRHL3,0
RAI14,1
TAF5,2
AVPR2,0
KLK13,0
ADGRA1,0
C2,1
SH3YL1,2
ACTR8,2
HIP1,2
TMEM57,2
2-Mar,2
CEP290,2
C15ORF59,0
SPG11,2
CCDC63,0
EVA1A,1
POU5F1,1
C17ORF62,2
GOLIM4,2
SSRP1,2
LRCH3,2
CCNI,2
KIAA1191,2
ICOS,1
TACSTD2,0
CTCFL,1
VAC14,2
TRIB3,1
YKT6,2
RFC2,2
SLC34A2,0
USP31,2
KBTBD12,0
MDH2,2
POC1A,2
LARGE2,1
ANKRD34B,1
TMEM39B,2
PRDM1,0
SAAL1,2
C2CD4B,0
PPP1R1B,0
SUPT16H,2
NDUFV3,2
DNASE2,2
ITLN1,0
TCTA,2
HIF1AN,2
ATG4A,2
FBLIM1,1
CACNB2,0
SLC1A7,0
CENPQ,2
CDCA7L,2
CMTR1,2
KRT23,0
ADCY2,0
FAM84B,2
ANK3,0
LAMA5,2
HERC1,2
STRN,2
CAPNS1,2
SAC3D1,2
SMCP,1
BAZ2B,2
WDCP,2
CD24,0
FAM111B,1
LHFPL5,1
VMP1,2
CD300LF,1
SYNPO2,0
PGS1,2
CXXC5,2
CNKSR3,2
C11ORF52,0
HIST2H4A,1
LRAT,1
KLF6,2
ARX,0
SP140,1
ZADH2,2
ATIC,2
MYBPC2,0
RSPH1,0
RND1,0
TMEM88B,1
GATS,0
RTP4,1
MIXL1,1
IFITM1,1
FRMD5,1
TNFRSF25,1
ATE1,2
HLA-C,2
IGFBP7,2
AQP9,1
RERG,0
SPHK1,2
USP53,2
APOBEC4,0
FAAH2,0
SPINK8,0
HDGFL1,1
PILRA,1
SLC22A16,0
SNRPB,2
SLC5A9,0
NT5E,1
PHYHIP,0
AGR3,0
LLGL2,2
IGFL2,1
NLRP10,1
DOCK3,0
ACVR1,2
CORO6,0
KLHL2,2
VIL1,1
STIP1,2
ELAVL2,1
RETNLB,1
MICU2,2
STK17A,2
PDE4D,2
NRAP,0
CEP57L1,2
TEX29,1
CLIP1,2
MX2,1
NFIB,0
MEI1,1
COL24A1,1
MAGIX,0
PRELID2,2
FOXD4L1,1
HHLA1,1
CCDC194,1
NDNF,0
PLA2G4C,0
PRKAR1A,2
ZSCAN1,0
RNF217,2
TECR,2
FTCD,1
SPATA21,1
LMF2,2
SPTBN4,0
SUMO3,2
TUBA1B,2
HSPB7,0
RCCD1,2
USP46,2
EMP3,1
ZDHHC8,2
ARSH,0
C10ORF35,1
SOX1,1
GRIA4,0
LZTFL1,2
CHRM5,1
PPP1R32,0
CENPJ,2
CBLN2,1
AKAP6,0
CXCL9,1
ST6GALNAC6,2
DGUOK,2
SNHG28,0
UCN,1
TIPIN,2
SLITRK5,0
ITPKA,1
VGLL2,0
GNL3,2
MAPRE1,2
IRF3,2
C1ORF186,1
VMA21,2
RNF2,2
SMIM14,2
TBX4,1
PDLIM7,2
F2RL3,1
C12ORF42,1
PMM1,2
CPNE1,2
SLC14A1,0
DNAH1,2
CACYBP,2
3-Mar,0
ITSN2,2
ST6GALNAC2,2
MYO1G,1
POU4F1,1
ZNF843,2
ZNF526,2
CCL7,1
IL21R,1
ETFBKMT,2
LETM2,1
ZNF750,0
NDUFAF3,2
TGFBR1,2
ABHD18,2
ELFN1,1
FOSB,0
GINS3,2
CKLF-CMTM1,2
VEGFA,2
RNF170,2
SLC25A11,2
ARID5B,2
NEURL1,0
TMED7-TICAM2,1
ITPKC,2
MRPS27,2
PPP2R5A,2
PCMTD1,2
MAP7D2,1
KIAA0907,2
CYSTM1,2
PCDHGA2,0
OLFML2B,1
SLURP1,0
H2BFWT,1
PML,2
AARS,2
PLEKHG7,0
SOX30,1
CNOT3,2
MUC13,0
ZBTB44,2
SARAF,2
HSF1,2
FBXO10,2
BCLAF1,2
SMPDL3A,2
DALRD3,2
TAS2R20,1
CCDC38,1
NYNRIN,0
C3ORF52,2
AC135178.2,0
NEFL,1
TCEAL7,0
KRT17,1
KRBA2,0
FAM89A,1
FLRT2,1
LIG1,2
ALDH1A3,0
SLN,0
MMP27,0
PPAT,2
BRMS1,2
AHCYL1,2
EZH1,2
PTX3,0
PARP1,2
ALPPL2,1
MPLKIP,2
MAATS1,0
CALHM1,1
PFN1,2
TMPRSS5,0
DENND2D,2
C1ORF61,1
EFHC2,0
ZRANB1,2
CYB5D2,2
B3GAT3,2
ASIC4,1
MYH10,1
DEAF1,2
GABBR1,2
TP63,2
PTGES3L-AARSD1,1
SLC1A4,2
AC007040.2,1
C17ORF99,1
ANKRD13B,2
TRIM54,0
ARHGAP32,2
NXPE2,0
PTGER3,0
PDHX,2
LRBA,2
COL4A3BP,2
TMCO4,2
LIAS,2
RPL14,2
CAT,2
GPR149,1
